type,question_number,question,option_A,option_B,option_C,option_D,correct_answer,answer_text
multiple_choice,1,The First Bank of the United States,was disbanded in 1811 when its charter was not r enewed.,had its charter renewal vetoed in 1832.,was fundamental in helping the Federal Governmen t finance the War of 1812.,None of the above.,A,
multiple_choice,2,The Second Bank of the United States,was disbanded in 1811 when its charter was not r enewed.,had its charter renewal vetoed in 1832.,is considered to be the primary cause of the ban k panic of 1907.,None of the above.,B,
multiple_choice,3,"The public's fear of centralized power and distr ust of moneyed interests led to the demise of the first two experiments in central banking, otherwise known as",the First Bank of the United States and the Seco nd Bank of the United States.,the First Bank of the United States and the Cent ral Bank of the United States.,the First Central Bank of the United States and the Second Central Bank of the United States.,the First Bank of North America and the Second B ank of North America.,A,
multiple_choice,4,The financial panic of 1907 resulted in such wid espread bank failures and substantial losses to depositors that the American public finally became convinced that,the First Bank of the United States had failed t o serve as a lender of last resort.,the Second Bank of the United States had failed to serve as a lender of last resort.,the Federal Reserve System had failed to serve a s a lender of last resort.,a central bank was needed to prevent future pani cs.,D,
multiple_choice,5,What makes the Federal Reserve so unique compare d to other central banks around the world is its,centralized structure.,decentralized structure.,regulatory functions.,monetary policy functions.,B,
multiple_choice,1,Which of the following is NOT an entity of the F ederal Reserve System?,Federal Reserve Banks,the Comptroller of the Currency,the Board of Governors,the Federal Open Market Committee,B,
multiple_choice,2,Which of the following is an entity of the Feder al Reserve System?,the U.S. Treasury Secretary,the FOMC,the Comptroller of the Currency,the FDIC,B,
multiple_choice,3,"The three largest Federal Reserve banks (New Yor k, Chicago, and San Francisco) combined hold more than ________ percent of the assets of th e Federal Reserve System.",25,33,50,67,C,
multiple_choice,4,The Federal Reserve Banks are ________ instituti ons since they are owned by the ________.,quasi-public; private commercial banks in the di strict where the Reserve Bank is located,public; private commercial banks in the district where the Reserve Bank is located,quasi-public; Board of Governors,public; Board of Governors,A,
multiple_choice,5,Each Federal Reserve bank has nine directors. Of these ________ are appointed by the member banks and ________ are appointed by the Board of Go vernors.,three; six,four; five,five; four,six; three,D,
multiple_choice,6,"The nine directors of the Federal Reserve Banks are split into three categories: ________ are professional bankers, ________ are leaders from ind ustry, and ________ are to represent the public interest and are not allowed to be officers, employees, or stockholders of banks.",5; 2; 2,2; 5; 2,4; 2; 3,3; 3; 3,D,
multiple_choice,7,Member commercial banks have purchased stock in their district Fed banks; the dividend paid by that stock is limited by law to ________ percent annually.,four,five,six,eight,C,
multiple_choice,8,The Federal Reserve Bank of ________ houses the open market desk.,Boston,New York,Chicago,San Francisco,B,
multiple_choice,9,The president from which Federal Reserve Bank al ways has a vote in the Federal Open Market Committee?,Philadelphia,Boston,San Francisco,New York,D,
multiple_choice,10,An important function of the regional Federal R eserve Banks is,setting reserve requirements.,clearing checks.,determining monetary policy.,setting margin requirements.,B,
multiple_choice,11,Which of the following functions is NOT perform ed by any of the twelve regional Federal Reserve Banks?,check clearing,conducting economic research,setting interest rates payable on time deposits,issuing new currency,C,
multiple_choice,12,All ________ are required to be members of the Fed.,state chartered banks,national banks chartered by the Office of the Co mptroller of the Currency,banks with assets less than $100 million,banks with assets less than $500 million,B,
multiple_choice,13,"Of all commercial banks, about ________ belong to the Federal Reserve System.",10%,one half,one third,90%,C,
multiple_choice,14,"Prior to 1980, member banks left the Federal Re serve System due to",the high cost of discount loans.,the high cost of required reserves.,a desire to avoid interest rate regulations.,a desire to avoid credit controls.,B,
multiple_choice,15,The Fed's support of the Depository Institution s Deregulation and Monetary Control Act of 1980 stemmed in part from its,concern over declining Fed membership.,belief that all banking regulations should be el iminated.,belief that interest rate ceilings were too high .,belief that depositors had to become more knowle dgeable of banking operations.,A,
multiple_choice,16,Banks subject to reserve requirements set by th e Federal Reserve System include,only nationally chartered banks.,only banks with assets less than $100 million.,only banks with assets less than $500 million.,all banks whether or not they are members of the Federal Reserve System.,D,
multiple_choice,17,The Depository Institutions Deregulation and Mo netary Control Act of 1980,established higher reserve requirements for nonm ember than for member banks.,established higher reserve requirements for memb er than for nonmember banks.,abolished reserve requirements.,established uniform reserve requirements for all banks.,D,
multiple_choice,18,There are ________ members of the Board of Gove rnors of the Federal Reserve System.,5,7,12,19,B,
multiple_choice,19,Members of the Board of Governors are,chosen by the Federal Reserve Bank presidents.,"appointed by the newly elected president of the United States, as are cabinet positions.",appointed by the president of the United States and confirmed by the Senate.,never allowed to serve more than 7-year terms.,C,
multiple_choice,20,Each governor on the Board of Governors can ser ve,only one nonrenewable fourteen-year term.,one full nonrenewable fourteen-year term plus pa rt of another term.,only one nonrenewable eight-year term.,one full nonrenewable eight-year term plus part of another term.,B,
multiple_choice,21,"The Chairman of the Board of Governors is chose n from among the seven governors and serves a ________, renewable term.",one-year,two-year,four-year,eight-year,C,
multiple_choice,22,"While the discount rate is ""established"" by the regional Federal Reserve Banks, in truth, the rate is determined by",Congress.,the president of the United States.,the Senate.,the Board of Governors.,D,
multiple_choice,23,Which of the followings is a duty of the Board of Governors of the Federal Reserve System?,"setting margin requirements, the fraction of the purchase price of the securities that has to be paid for with cash",setting the maximum interest rates payable on ce rtain types of time deposits under Regulation Q,regulating credit with the approval of the presi dent under the Credit Control Act of 1969,All governors advise the president of the United States on economic policy.,A,
multiple_choice,24,Which of the followings is NOT a current duty o f the Board of Governors of the Federal Reserve System?,"setting margin requirements, the fraction of the purchase price of the securities that has to be paid for with cash",setting the maximum interest rates payable on ce rtain types of time deposits under Regulation Q,"approving the discount rate ""established"" by the Federal Reserve banks",voting on the conduct of open market operations,B,
multiple_choice,25,The Federal Open Market Committee usually meets ________ times a year.,four,six,eight,twelve,C,
multiple_choice,26,The Federal Reserve entity that makes decisions regarding the conduct of open market operations is the,Board of Governors.,chairman of the Board of Governors.,Federal Open Market Committee.,Open Market Advisory Council.,C,
multiple_choice,27,The Federal Open Market Committee consists of t he,five senior members of the seven-member Board of Governors.,seven members of the Board of Governors and seve n presidents of the regional Fed banks.,seven members of the Board of Governors and five presidents of the regional Fed banks.,twelve regional Fed bank presidents and the chai rman of the Board of Governors.,C,
multiple_choice,28,The majority of members of the Federal Open Mar ket Committee are,Federal Reserve Bank presidents.,members of the Federal Advisory Council.,presidents of member banks.,the seven members of the Board of Governors.,D,
multiple_choice,29,"Each Fed bank president attends FOMC meetings; although only ________ Fed bank presidents vote on policy, all ________ provide inp ut.",three; ten,five; ten,three; twelve,five; twelve,D,
multiple_choice,30,"Although reserve requirements and the discount rate are not actually set by the ________, decisions concerning these policy tools are effecti vely made there.",Federal Reserve Bank of New York,Board of Governors,Federal Open Market Committee,Federal Reserve Banks,C,
multiple_choice,31,The research document given to the Federal Open Market Committee that contains information on the state of the economy in each Fed eral Reserve district is called the,beige book.,green book.,blue book.,black book.,A,
multiple_choice,32,The teal book is the Fed research document cont aining,the forecast of national economic variables for the next three years.,forecasts of the money aggregates conditional on different monetary policy stances.,information on the state of the economy in each Federal Reserve district.,"both A and B. E) A, B and C.",D,
multiple_choice,33,"The Federal Open Market Committee's ""balance of risks"" is an assessment of whether, in the future, its primary concern will be",higher exchange rates or higher unemployment.,higher inflation or a stronger economy.,higher inflation or a weaker economy.,lower inflation or a stronger economy.,C,
multiple_choice,34,"Subject to the approval of the Board of Governo rs, the decision of choosing the president of a district Federal Reserve Bank is made by",all nine district bank directors.,the six district bank directors elected by the m ember banks.,three district bank directors who are profession al bankers.,district bank directors who are not professional bankers. E) class A and class B directors.,D,
essay,35,Why does the Federal Reserve Bank of New York p lay a special role within the Federal Reserve System?,,,,,,"The New York district contains the largest banks in the country. The New York Fed supervises and examines these banks to insure their soundness and the safety of the nation's financial system. The New York Fed conducts open ma rket operations and foreign exchange transactions for the Fed and Treasury. The New York Fed belongs to the Bank for International Settlements, so its president and the chairman of t he Board of Governors represent the U.S. at the monthly meetings of the world's central banks. The New York Fed president is the only president of a regional Fed who is a permanent voting member of the FOMC. Question Status: Previous Edition AACSB: Reflective Thinking 10 Copyright © 2022 Pearson Education, Ltd."
essay,36,Who are the voting members of the Federal Open Market Committee and why is this committee important? Where does the power lie withi n this committee?,,,,,,"The FOMC determines the monetary policy of the United States through its decisions about open market operations. It also effectively d etermines the discount rate and reserve requirements. The seven members of the Board of Gov ernors, the president of the New York Fed, and four of the other eleven regional bank presiden ts are voting members on a rotating basis. Within the FOMC, the chairman of the Board of Gover nors wields the power. Question Status: Previous Edition AACSB: Reflective Thinking 14.3 How Independent is the Fed?"
multiple_choice,1,Instrument independence is the ability of ______ __ to set monetary policy ________.,the central bank; goals,Congress; goals,Congress; instruments,the central bank; instruments,D,
multiple_choice,2,The ability of a central bank to set monetary po licy instruments is,political independence.,goal independence.,policy independence.,instrument independence.,D,
multiple_choice,3,Goal independence is the ability of ________ to set monetary policy ________.,the central bank; goals,Congress; goals,Congress; instruments,the central bank; instruments,A,
multiple_choice,4,The ability of a central bank to set monetary po licy goals is,political independence.,goal independence.,policy independence.,instrument independence.,B,
multiple_choice,5,"Members of Congress are able to influence moneta ry policy, albeit indirectly, through their ability to",withhold appropriations from the Board of Govern ors.,withhold appropriations from the Federal Open Ma rket Committee.,"propose legislation that would force the Fed to submit budget requests to Congress, as must other government agencies.",instruct the General Accounting Office to audit the foreign exchange market functions of the Federal Reserve.,C,
multiple_choice,6,U.S. presidents,can change the interest rate.,can advise the Fed chair to change the interest rate.,cannot legally fire a Fed chair.,can dismiss the Fed chair from the office.,C,
essay,7,Explain two concepts of central bank independenc e. Is the Fed politically independent? Why do economists think central bank independence is impor tant?,,,,,,"Instrument independence is the ability of the central bank to set its instruments, and goal independence is the ability of a central bank to se t its goals. The Fed enjoys both types of independence. The Fed is largely independent of pol itical pressure due to its earnings and the conditions of appointment of the Board of Governors and its chairman. However, some political pressure can be applied through the threat or enact ment of legislation affecting the Fed. Independence is important because there is some evi dence that independent central banks pursue lower rates of inflation without harming overall ec onomic performance. Question Status: Previous Edition AACSB: Reflective Thinking 12 Copyright © 2022 Pearson Education, Ltd. 14.4 Should the Fed Be Independent?"
multiple_choice,1,The case for Federal Reserve independence does N OT include the idea that,political pressure would impart an inflationary bias to monetary policy.,a politically insulated Fed would be more concer ned with long-run objectives and thus be a defender of a sound dollar and a stable price level .,policy is always performed better by an elite gr oup such as the Fed.,a Federal Reserve under the control of Congress or the president might make the so-called political business cycle more pronounced.,C,
