type,question_number,question,option_A,option_B,option_C,option_D,correct_answer
multiple_choice,1,Thequantitytheoryofmoneyisatheoryofhow,Cung tiềnđược xác định.,lãi suất được xác định.,sau đó giá trị tổng hợp thu nhập được xác định.,therealvalueofaggregateincomeđược xác định.,C
multiple_choice,2,"Bởi vìlý thuyết số lượng của tiền tệcho biếtsuhiển thị nhiều tiền được giữ cho số lượng tổng thu nhập, đó là lý thuyết của",xác định lãi suất.,Nhu cầu tiền bạc.,xác định tỷ giá hối đoái.,nhu cầu về tài sản.,B
multiple_choice,3,Số lần trung bình đómột đô la mua tổng số tiền chính thức hàng hóa và dịch vụ được sản xuất trong thời gian được biết đến,tổng sản phẩm quốc gia.,hệ số chi tiêu.,themoneymultiplier.,vận tốc.,D
multiple_choice,4,Vận tốc của tiền là,Số lần trung bình đó là đô la mua tổng số tiền hàng hóa và dịch vụ.,Tỷ lệ của tiền cổ phiếu với tiền có quyền lực cao.,Tỷ lệ tiền cổ phiếu với lãi suất.,Số lần trung bìnhcủa một đô lamua tài sản tài chính.,A
multiple_choice,6,"Nếucung tiền là $600 và thu nhập danh nghĩa là $3.000, thevelocityof moneyis",1/50.,1/5.,5,50,C
multiple_choice,7,"Nếucung tiền là $500 và thu nhập danh nghĩa là $4,000, thevelocityof moneyis",1/20.,1/8.,8,20,C
multiple_choice,8,"Nếu cung tiền là $600 và thu nhập danh nghĩa là $3,600, thevelocity of moneyis",1/60.,1/6.,6,60,C
multiple_choice,9,"Nếu GDP danh nghĩa là 10 nghìn tỷ đô la, và cung tiền là 2 nghìn tỷ đô la, vận tốc là",0.2.,5,10,20,B
multiple_choice,11,"Nếu GDP danh nghĩa là 10 nghìn tỷ đô la, và vận tốc là 10, cung tiền là",1 nghìn tỷ đô la.,5 nghìn tỷ đô la.,10 nghìn tỷ đô la.,100 nghìn tỷ đô la.,A
multiple_choice,12,"Nếu cung tiền là 2 nghìn tỷ đô la và vận tốc là 5, thì GDP danh nghĩa",1 nghìn tỷ đô la.,2 nghìn tỷ đô la.,5 nghìn tỷ đô la.,10 nghìn tỷ đô la.,D
multiple_choice,13,"Nếu cung tiền là 20 nghìn tỷ đô la và tốc độ là 2, thì GDP danh nghĩa",2 nghìn tỷ đô la.,10 nghìn tỷ đô la.,20 nghìn tỷ đô la.,40 nghìn tỷ đô la.,D
multiple_choice,14,Vận tốc được định nghĩa là,P + M + Y.,(P×M) / Y.,(Y×M)/P.,(P×Y) / M.,D
multiple_choice,16,Phương trình trao đổitrạng thái rằng số lượng tiền nhân với số lần số lần tiền này được chi tiêu trong năm phải bằng nhau,thu nhập danh nghĩa.,thu nhập thực tế.,sản phẩm quốc gia thực sự.,vận tốc.,A
multiple_choice,17,"Trong phương trình trao đổi, khái niệm cung cấp liên kết giữa MandPYđược gọi là",thevelocityofmoney.,tổng hợp.,tổng hợp.,themoneymultiplier.,A
multiple_choice,18,Phương trình trao đổi là,M×P=V×Y.,M+V=P+Y.,M+Y=V+P.,M×V=P×Y.,D
multiple_choice,19,IrvingFishertookquan điểm rằng các đặc điểm thể chế của nền kinh tế ảnh hưởng đến velocitychange________overtimesothatvelocitywillbefairly________intheshortrun.,mau; thất thường,mau; chuồng,chậm; chuồng,chậm; thất thường,C
multiple_choice,21,Kết luận của các nhà kinh tế học cổ điển rằng thu nhập danh nghĩa được xác định bởi các phong trào trong themoneysupplyrestedontheirbeliefthat________couldbetreatedas________intheshort chạy.,vận tốc; hằng,vận tốc; biến số,tiền; hằng,tiền; biến số,A
multiple_choice,22,"Quan điểm rằng vận tốc là hằng số trong ngắn hạnbiến đổi phương trình trao đổi thành lý thuyết số lượng của tiền tệ. Theo lý thuyết số lượng, khi cung tiền tăng gấp đôi",vận tốcgiảm50 phần trăm.,vận tốc gấp đôi.,thu nhập danh nghĩa giảm50 phần trăm.,thu nhập danh nghĩa gấp đôi.,D
multiple_choice,23,Cắt giảm nguồn cung tiền bằng một phần ba được dự đoán bởi lý thuyết số lượng của tiền để gây ra,"Asharpsụt giảm sản lượng thực tế của một phần ba trong ngắn hạn, và giảm ở mức giá bằng một- phần ba trong dài hạn.",adeclineinrealoutputby-một phần ba.,"giảm sản lượng một phần sáu, và giảm mức giá của một phần sáu.",adeclineinthepricelevelby-một phần ba.,D
multiple_choice,25,Tranh cãi của các nhà kinh tế học cổ điển rằng giá cả gấp đôikhi cung tiền là predicatedonthebeliefthatintheshortrunvelocityis________andrealGDPis________.,hằng; hằng,hằng; biến số,biến số; biến số,biến số; hằng,A
multiple_choice,26,"Đối với các nhà kinh tế học cổ điển, lý thuyết số lượng của tiền tệcung cấp và giải thích về các chuyển động ở mức giá. Thay đổi trong pricelevelresult",từ tỷ lệ thay đổi trong số lượng tiền.,chủ yếu từ những thay đổi trong số lượng tiền.,chỉ một phần từ những thay đổi trong số lượng tiền.,từthay đổicác tác nhân khác với số lượng tiền.,A
multiple_choice,27,"Nếu ban đầucung tiền là 1 nghìn tỷ đô la, vận tốc là 5, mức giá là 1, và GDP thực tế là 5 nghìn tỷ đô la, tăng cung tiền lên 2 nghìn tỷ đô la",tăngthực tếGDPlên 10 nghìn tỷ đô la.,causesvelocitytofallto2.5.,increasesthepricelevelto2.,IncreasesThePriceLevelto2andvelocityto10.,C
multiple_choice,29,Theo lý thuyết số lượng của nhu cầu tiền tệ,tăng lãi suất sẽ gây ra nhu cầu về tiền bạc.,Giảm lãi suất sẽ gây ra nhu cầu về tiền để tăng.,lãi suất có tác dụng đối với nhu cầu tiền bạc.,tăng tiền sẽ gây ra nhu cầu về tiền bạc.,C
multiple_choice,30,"Lý thuyết số lượng tiền bạc của Fisher gợi ý rằng nhu cầu tiền bạc hoàn toàn là một chức năng của ________,and________noeffectonthedemandformoney.",thu nhập; lãi suấtcó,lãi suất; thu nhậpcó,chi tiêu chính phủ; lãi suấtcó,Mong đợi; thu nhậpcó,A
multiple_choice,31,"________quantitytheoryofmoneysuggeststhatthedemandformoneyispurelyafunction thu nhập, và lãi suất có ảnh hưởng đến nhu cầu tiền bạc.",của Keynes,Ngư dân,Của Friedman,Của Tobin,B
multiple_choice,33,Thequantitytheoryofinflationchỉ ra rằng tỷ lệ lạm phát bằng,Tốc độ tăng trưởng của nguồn cung tiền trừ đi tốc độ tăng trưởng của tổng sản lượng.,Mức của nguồn cung tiền trừ đến mức tổng hợp đầu ra.,Tốc độ tăng trưởng của nguồn cung tiền cộng với tốc độ tăng trưởng của tổng sản lượng.,Mức của nguồn cung tiềnplusthelevelofaggregateoutput.,A
multiple_choice,34,"Số lượnglý thuyết lạm phát chỉ ra rằng nếu tổng hợp sản lượng đang tăng trưởng ở mức 3% mỗi năm và tốc độ tăng trưởng của tiền là 5%, thì lạm phát là",2%.,8%.,-2%.,1.6%.,A
multiple_choice,35,Bằng chứng kinh nghiệm cho thấy rằng lý thuyết số lượng về tiền bạclà lý thuyết tốt về lạm phát,"inthelongrun, nhưngnotintheshortrun.","intheshortrun, nhưng notinthelongrun.",cả hai chiều dài và shortrun.,notinethelongrunnortheshortrun.,A
